,Naslov,Mesto,Gradska lokacija,Povrsina stana,Broj soba,Spratnost,Cena nekretnine,Cena po kvadratu,Oglasivac
48,Dvosoban stan ,Jagodina,Tabane,54m2,2.0,IV/4,25.000€,463 €/m2,AGENCIJA
49,Dvosoban stan u centru,Jagodina,Centar,60m2,1.0,V/6,42.000€,700 €/m2,AGENCIJA
50,Dvosoban stan u centru,Jagodina,Centar,62m2,2.0,I/5,59.000€,952 €/m2,AGENCIJA
51,Dvosoban stan u centru,Jagodina,Centar,57m2,2.0,VII/7,30.000€,526 €/m2,AGENCIJA
52,Jednosoban stan,Jagodina,Vašarište,37m2,1.0,V/5,22.500€,608 €/m2,AGENCIJA
53,NOV TROSOBAN STAN,Jagodina,Centar,76m2,3.0,I/5,55.000€,724 €/m2,AGENCIJA
54,KUĆA-STAN SA DVORIŠTEM,Jagodina,Centar,78m2,3.0,PR,28.000€,359 €/m2,AGENCIJA
55,TROSOBAN STAN -DUPLEX,Jagodina,Kajsijar,120m2,3.0,II,39.000€,325 €/m2,AGENCIJA
56,TROSOBAN STAN,Jagodina,Sarina Međa,82m2,3.0,V/5,38.000€,463 €/m2,AGENCIJA
57,TROSOBAN STAN U CENTRU,Jagodina,Centar,76m2,3.0,IV/4,45.000€,592 €/m2,AGENCIJA
58,NOV ČETVOROSOBAN STAN,Jagodina,Centar,127m2,4.0,VI/7,119.000€,937 €/m2,AGENCIJA
59,TROSOBAN STAN U CENTRU,Jagodina,Centar,89m2,3.0,II,70.000€,787 €/m2,AGENCIJA
60,NOV TROSOBAN STAN,Jagodina,Centar,84m2,3.0,IV/4,70.000€,833 €/m2,AGENCIJA
61,Dvosoban stan  ,Jagodina,Centar,57m2,2.0,IV/7,46.000€,807 €/m2,AGENCIJA
62,Garsonjera novije gradnje,Jagodina,Kajsijar,21m2,0.5,PSUT/4,13.500€,643 €/m2,AGENCIJA
63,Dvosoban stan u centru,Jagodina,Centar,56m2,2.0,III/4,31.000€,554 €/m2,AGENCIJA
64,Dvoiposoban stan novije gradnje,Jagodina,Levač,68m2,2.5,III/3,38.000€,559 €/m2,AGENCIJA
65,Veća garsonjera,Jagodina,Centar,30m2,1.0,PSUT/4,17.000€,567 €/m2,AGENCIJA
66,Nov dvosoban stan u  centru,Jagodina,Centar,"65,50m2",2.0,VI/6,55.675€,850 €/m2,AGENCIJA
67,Garsonjera u strogom centru ,Jagodina,Centar,20m2,0.5,IV/4,15.000€,750 €/m2,AGENCIJA
68,Jednosoban stan u centru grada,Jagodina,Centar,35m2,1.0,III/5,23.000€,657 €/m2,AGENCIJA
69,"Centar, Slavke Đurđević, 3,0 Trosoban ",Jagodina,Slavke Đurđević,89m2,3.0,VPR/11,65.000€,730 €/m2,VLASNIK
70,Nov luksuzan stan kod aqua parka,Jagodina,Aqua park,95m2,2.5,I/5,77.000€,811 €/m2,AGENCIJA
71,Jednoiposoban stan u centru,Jagodina,Centar,47m2,1.5,VPR/5,26.500€,564 €/m2,AGENCIJA
72,Dvosoban stan u centru,Jagodina,Centar,52m2,2.0,VPR/5,31.000€,596 €/m2,AGENCIJA
73,Nov dvosoban stan u mirnom delu grada,Jagodina,Solaris,63m2,2.0,III/4,38.000€,603 €/m2,AGENCIJA
74,Trosoban stan u strogom centru,Jagodina,Centar,76m2,3.0,VII/7,34.000€,447 €/m2,AGENCIJA
75,Trosoban stan u strogom centru,Jagodina,Centar,120m2,3.0,V/5,42.000€,350 €/m2,AGENCIJA
